the_geom,cartodb_id,current_timezone_offset,postal_code,zip_code,store_id,first_seen,olson_timezone,timezone,coordinates,country,country_subdivision,city,street_3,street_2,street_1,street_combined,ownership_type,phone_number,store_number,brand,name,longitude,latitude
0101000020E61000009F6DFB3F837D52C0FF17F81F53614440,209,-300,100658702,10065,16178,12/8/13 22:41,GMT-05:00 America/New_York,Eastern Standard Time,"(40.7603492736816, -73.9611358642578)",US,NY,New York,,,1102 1st Ave,1102 1st Ave,CO,212-688-9118,7612-22336,Starbucks,60th & First,-73.96113586,40.76034927
0101000020E610000002A5FCFF537F52C0BEF207A024604440,1,-300,100012101,10001,6999,12/8/13 22:41,GMT-05:00 America/New_York,Eastern Standard Time,"(40.7511177062988, -73.989501953125)",US,NY,New York,,,151 W. 34th Street,151 W. 34th Street,CO,212-268-3695,14092-114824,Starbucks,Macy's 6th Floor,-73.98950195,40.75111771
0101000020E6100000D58DFB7F6A7F52C0CD68F51F635F4440,2,-300,100016354,10001,11291,12/8/13 22:41,GMT-05:00 America/New_York,Eastern Standard Time,"(40.7452125549316, -73.9908752441406)",US,NY,New York,The Capitol At Chelsea,,776 Avenue of the Americas,"776 Avenue of the Americas, The Capitol At Chelsea",CO,212-481-1856,7792-59799,Starbucks,27th & 6th,-73.99087524,40.74521255
0101000020E61000008ADD0400837F52C04C410AE0DE5F4440,3,-300,100013967,10001,11599,12/8/13 22:41,GMT-05:00 America/New_York,Eastern Standard Time,"(40.7489891052246, -73.9923706054688)",US,NY,New York,,,370 7th Avenue,370 7th Avenue,CO,(212) 967-2041,7316-1190,Starbucks,31st & 7th,-73.99237061,40.74898911
0101000020E610000060AAFCDF4F7F52C0DABFFC5FBF5F4440,4,-300,10001,10001,14380,12/8/13 22:41,GMT-05:00 America/New_York,Eastern Standard Time,"(40.7480278015137, -73.9892501831055)",US,NY,New York,,,875 Sixth Ave,875 Sixth Ave,CO,2126296540,9722-97890,Starbucks,31st & 6th,-73.98925018,40.7480278
0101000020E610000007FE0120388052C05F44FC3FDE604440,5,-300,100011114,10001,14762,12/8/13 22:41,GMT-05:00 America/New_York,Eastern Standard Time,"(40.7567825317383, -74.0034255981445)",US,NY,New York,,,655 W 34th St,655 W 34th St,LS,212-216-2426,75271-97781,Starbucks,Javits Convention Ctr Taxi North,-74.0034256,40.75678253
0101000020E6100000BEAFFCBF8B7F52C0F89BFD3F56604440,6,-300,100012519,10001,16813,12/8/13 22:41,GMT-05:00 America/New_York,Eastern Standard Time,"(40.7526321411133, -73.9929046630859)",US,NY,New York,,,494 Eighth Ave.,494 Eighth Ave.,CO,(212) 947-3860,7470-8467,Starbucks,35th & 8th,-73.99290466,40.75263214
0101000020E6100000E4C8FB1F3D7F52C06DBEF83F13604440,7,-300,100012101,10001,17697,12/8/13 22:41,GMT-05:00 America/New_York,Eastern Standard Time,"(40.7505874633789, -73.9881057739258)",US,NY,New York,,Room 900,151 W. 34th Street,"151 W. 34th Street, Room 900",CO,212 564 7025,7769-65280,Starbucks,Macy's 3rd Floor,-73.98810577,40.75058746
0101000020E61000000E3B00A0927F52C033970AE09C5F4440,8,-300,100016005,10001,18290,12/8/13 22:41,GMT-05:00 America/New_York,Eastern Standard Time,"(40.7469749450684, -73.9933242797852)",US,NY,New York,,,315 Seventh Avenue,315 Seventh Avenue,CO,646-336-6462,13538-107927,Starbucks,28th & 7th,-73.99332428,40.74697495
0101000020E6100000BE310400477F52C0E1FCFADF19604440,9,-300,10001,10001,90222,12/8/13 22:41,GMT-05:00 America/New_York,Eastern Standard Time,"(40.750789642334, -73.9887084960938)",US,NY,New York,,,151 W. 34th Street,151 W. 34th Street,CO,2122390342,17505-180084,Starbucks,Macy's 2nd Floor,-73.9887085,40.75078964
